brand;Social Perception Score Eco-Friendliness;Social Perception Score Luxury;Social Perception Score Nutrition;Survey Score Eco-Friendliness;Survey Score Luxury;Survey Score Nutrition;Sector;Brand Name;Brand Text
Hmusa;0.012103600;0.043272800;0.006737740;2.441176471;2.301587302;;apparel;H&M;HM
Hollisterco;0.005905270;0.016621300;0.002690250;2.213043478;2.545098039;;apparel;Hollister;Hollister
Honda;0.015235100;0.025469600;0.005692430;3.461176471;2.150134048;;car;Honda;Honda
Honeymaidsnacks;0.017165200;0.019659000;0.014640000;2.541832669;;;food;Honey Maid;HMaid
Hostess_snacks;0.015881500;0.024506900;0.015420800;1.802325581;;1.174129353;food;Hostess Snacks;HSnacks
Hugoboss;0.010154900;0.035887200;0.004599300;2.191588785;3.650406504;;apparel;Hugo Boss;Boss
Hyundai;0.018391500;0.030108400;0.007079020;3.011792453;1.879356568;;car;Hyundai;Hyundai
Infinitiusa;0.016601600;0.035434800;0.007078580;2.569306931;3.313953488;;car;Infiniti;Infiniti
Izod;0.010215300;0.013584400;0.007949210;2.541666667;2.463829787;;apparel;Izod;Izod
Jackdaniels_us;0.011096300;0.018940300;0.006329850;2.206106870;;1.312500000;food;Jack Daniels;JDaniels
Jaguar;0.014613700;0.035995400;0.005209460;2.021276596;4.279569892;;car;Jaguar;Jaguar
Jcrew;0.014590400;0.047869000;0.010360000;2.569037657;2.814814815;;apparel;Jcrew;Jcrew
Jeep;0.014600000;0.025740000;0.005930250;2.070588235;2.134408602;;car;Jeep;Jeep
Kelloggsus;0.018854800;0.024610200;0.027118200;2.782771536;;2.971153846;food;Kelloggs;Kello
Kia;0.016549200;0.027511300;0.007346990;3.033175355;1.702997275;;car;Kia;Kia
Klondikebar;0.016540100;0.025241700;0.014715900;2.073643411;;1.317365269;food;Klondike Bar;KBar
Lamborghini;0.011467900;0.031076900;0.004030150;1.679245283;4.886486486;;car;Lamborghini;Lambo
Landrover;0.014748800;0.034485800;0.005332980;1.873508353;3.294277929;;car;Landrover;LandR
Levis;0.011660100;0.026042600;0.005228050;2.882575758;1.996575342;;apparel;Levis;Levis
Lexus;0.012419400;0.028591100;0.004745000;2.592941176;3.895442359;;car;Lexus;Lexus
Lincolnmotorco;0.015588800;0.025580800;0.007680520;2.150000000;3.358490566;;car;Lincoln;Lincoln
Littledebbie;0.016587700;0.024996700;0.015294700;1.779527559;;1.195000000;food;Little Debbie;LDebbie
Loft;0.013712100;0.031553300;0.015114300;2.460000000;3.004219409;;apparel;Loft;Loft
Lorealparisuk;0.009852990;0.029470300;0.005549990;2.365131579;;;personal_care;Loreal Paris;LParis
Louisvuitton_us;0.011141000;0.053278500;0.004491460;2.039525692;4.800711744;;apparel;Louis Vuitton;LVuitton
Lovemyphilly;0.021868500;0.034558100;0.034200600;2.437262357;;2.119047619;food;Philadelphia;Phily
Maserati_hq;0.014051900;0.038072400;0.004943310;1.792500000;4.711864407;;car;Maserati;Maserati
Mazdausa;0.017866000;0.030300900;0.006890940;2.832941176;2.188172043;;car;Mazda;Mazda
Mercedesbenz;0.011672300;0.029739600;0.004198430;2.303529412;4.126005362;;car;Mercedes;Mbenz
Miniusa;0.016363000;0.032207500;0.007135060;3.230379747;2.556851312;;car;Mini;Mini
Miraclewhip;0.014638900;0.016968300;0.015060300;2.042471042;;1.623188406;food;Miracle Whip;MWhip
Mitsucars;0.015862600;0.029158600;0.005604540;2.634204276;2.194594595;;car;Mitsubishi;Mitsu
Monsterenergy;0.004741890;0.013129400;0.001808480;1.686507937;;1.172205438;food;Monster;Monster
Motts;0.022878800;0.029368500;0.035312100;2.875000000;;3.198757764;food;Motts;Motts
Nakedjuice;0.017042400;0.019446100;0.022351500;3.747826087;;3.753424658;food;Naked Juice;NJuice
Naturespath;0.045425400;0.024385200;0.054612600;3.816901408;;3.758474576;food;Natures Path;NatPath
Naturevalley;0.029311900;0.022153600;0.027561300;3.475471698;;3.485294118;food;Nature Valley;NatValley
Nautica;0.014789900;0.032575100;0.007802830;2.643724696;2.763157895;;apparel;Nautica;Nautica
Nestle;0.017736600;0.022268000;0.019295900;2.262172285;;1.717703349;food;Nestle;Nestle
Nikestore;0.006793700;0.012605600;0.004468920;2.460966543;2.531986532;;apparel;Nike;Nike
Nissanusa;0.015886000;0.025948300;0.006045800;3.025882353;2.292225201;;car;Nissan;Nissan
