brand;Social Perception Score Eco-Friendliness;Social Perception Score Luxury;Social Perception Score Nutrition;Survey Score Eco-Friendliness;Survey Score Luxury;Survey Score Nutrition;Sector;Brand Name;Brand Text
Dolepackaged;0.0185805;0.0275426;0.0324733;296.969.697;;3.528.528.529;food;Dole;Dole
Doritos;0.0119998;0.0197487;0.00768797;1.815.789.474;;1.252.199.413;food;Doritos;Doritos
Dove;0.0148227;0.0280429;0.0156581;3.029.126.214;;;personal_care;Dove;Dove
Dove_chocolate;0.0201147;0.0296158;0.0291968;2.337.164.751;;1.648.780.488;food;Dove Chocolate;DoveC
Eatliquidgold;0.0139946;0.0158044;0.0149533;194.488.189;;1.580.745.342;food;Velveeta;ELG
Elizabetharden;0.0140387;0.0431425;0.0115105;2.469.767.442;;;personal_care;Elizabeth Arden;EHarden
Ford;0.0179479;0.0264679;0.00667521;Feb 64;1.957.104.558;;car;Ford;Ford
Fritolay;0.017004;0.0240536;0.0189449;195.505.618;;1.401.913.876;food;Fritolay;Frito
Gap;0.012609;0.0351757;0.0084108;2.645.522.388;2.139.455.782;;apparel;Gap;Gap
Gatorade;0.0113994;0.0175323;0.0133228;2.249.056.604;;2.207.729.469;food;Gatorade;Gatorade
Godiva;0.0145946;0.0356184;0.0182505;2.492.063.492;;1.711.442.786;food;Godiva;Diva
Greengiant;0.0268803;0.0244129;0.0448826;3.035.294.118;;381.402.439;food;Green Giant;GGiant
Guess;0.00967716;0.0344263;0.00549258;2.404.081.633;2.721.830.986;;apparel;Guess;Guess
Hanes;0.0182435;0.0265696;0.0194633;2.777.777.778;1.417.241.379;;apparel;Hanes;Hanes
Healthy_choice;0.0181969;0.0190108;0.0464579;3.193.050.193;;350.310.559;food;Healthy Choice;HChoice
Herbalessences;0.0122892;0.0228086;0.0105578;2.683.168.317;;;personal_care;Herbal Essences;HEssence
Hmusa;0.0121036;0.0432728;0.00673774;2.441.176.471;2.301.587.302;;apparel;H&M;HM
Hollisterco;0.00590527;0.0166213;0.00269025;2.213.043.478;2.545.098.039;;apparel;Hollister;Hollister
Honda;0.0152351;0.0254696;0.00569243;3.461.176.471;2.150.134.048;;car;Honda;Honda
Honeymaidsnacks;0.0171652;0.019659;0.01464;2.541.832.669;;;food;Honey Maid;HMaid
Hostess_snacks;0.0158815;0.0245069;0.0154208;1.802.325.581;;1.174.129.353;food;Hostess Snacks;HSnacks
Hugoboss;0.0101549;0.0358872;0.0045993;2.191.588.785;3.650.406.504;;apparel;Hugo Boss;Boss
Hyundai;0.0183915;0.0301084;0.00707902;3.011.792.453;1.879.356.568;;car;Hyundai;Hyundai
Infinitiusa;0.0166016;0.0354348;0.00707858;2.569.306.931;3.313.953.488;;car;Infiniti;Infiniti
Izod;0.0102153;0.0135844;0.00794921;2.541.666.667;2.463.829.787;;apparel;Izod;Izod
Jackdaniels_us;0.0110963;0.0189403;0.00632985;220.610.687;;13.125;food;Jack Daniels;JDaniels
Jaguar;0.0146137;0.0359954;0.00520946;2.021.276.596;4.279.569.892;;car;Jaguar;Jaguar
Jcrew;0.0145904;0.047869;0.01036;2.569.037.657;2.814.814.815;;apparel;Jcrew;Jcrew
Jeep;0.0146;0.02574;0.00593025;2.070.588.235;2.134.408.602;;car;Jeep;Jeep
Kelloggsus;0.0188548;0.0246102;0.0271182;2.782.771.536;;2.971.153.846;food;Kelloggs;Kello
Kia;0.0165492;0.0275113;0.00734699;3.033.175.355;1.702.997.275;;car;Kia;Kia
Klondikebar;0.0165401;0.0252417;0.0147159;2.073.643.411;;1.317.365.269;food;Klondike Bar;KBar
Lamborghini;0.0114679;0.0310769;0.00403015;1.679.245.283;4.886.486.486;;car;Lamborghini;Lambo
Landrover;0.0147488;0.0344858;0.00533298;1.873.508.353;3.294.277.929;;car;Landrover;LandR
Levis;0.0116601;0.0260426;0.00522805;2.882.575.758;1.996.575.342;;apparel;Levis;Levis
Lexus;0.0124194;0.0285911;0.004745;2.592.941.176;3.895.442.359;;car;Lexus;Lexus
Lincolnmotorco;0.0155888;0.0255808;0.00768052;Feb 15;3.358.490.566;;car;Lincoln;Lincoln
Littledebbie;0.0165877;0.0249967;0.0152947;1.779.527.559;;1.195;food;Little Debbie;LDebbie
Loft;0.0137121;0.0315533;0.0151143;Feb 46;3.004.219.409;;apparel;Loft;Loft
Lorealparisuk;0.00985299;0.0294703;0.00554999;2.365.131.579;;;personal_care;Loreal Paris;LParis
Louisvuitton_us;0.011141;0.0532785;0.00449146;2.039.525.692;4.800.711.744;;apparel;Louis Vuitton;LVuitton
Lovemyphilly;0.0218685;0.0345581;0.0342006;2.437.262.357;;2.119.047.619;food;Philadelphia;Phily
