brand,Date,tweets_count
Coca-Cola,2020-03-09,1100
Coca-Cola,2020-03-16,854
Coca-Cola,2020-03-23,918
Coca-Cola,2020-03-30,933
Coca-Cola,2020-04-06,1022
Coca-Cola,2020-04-13,913
Coca-Cola,2020-04-20,1063
Coca-Cola,2020-04-27,1055
Coca-Cola,2020-05-04,1141
Coca-Cola,2020-05-11,852
Coca-Cola,2020-05-18,1022
Coca-Cola,2020-05-25,1160
Coca-Cola,2020-06-01,841
Coca-Cola,2020-06-08,1397
Coca-Cola,2020-06-15,1307
Coca-Cola,2020-06-22,1555
Coca-Cola,2020-06-29,1551
Coca-Cola,2020-07-06,1086
Coca-Cola,2020-07-13,981
Coca-Cola,2020-07-20,1629
Coca-Cola,2020-07-27,1173
Coca-Cola,2020-08-03,1336
Coca-Cola,2020-08-10,1296
Coca-Cola,2020-08-17,1109
Coca-Cola,2020-08-24,1202
Coca-Cola,2020-08-31,1079
Coca-Cola,2020-09-07,912
Coca-Cola,2020-09-14,807
Coca-Cola,2020-09-21,1158
Coca-Cola,2020-09-28,1305
Coca-Cola,2020-10-05,807
Coca-Cola,2020-10-12,959
Coca-Cola,2020-10-19,1186
Coca-Cola,2020-10-26,1258
HM,2019-07-01,990
HM,2019-07-08,1273
HM,2019-07-15,1192
HM,2019-07-22,1288
HM,2019-07-29,1317
HM,2019-08-05,1356
HM,2019-08-12,1259
HM,2019-08-19,1296
HM,2019-08-26,1302
HM,2019-09-02,1262
HM,2019-09-09,1304
HM,2019-09-16,1404
HM,2019-09-23,1477
HM,2019-09-30,1302
HM,2019-10-07,1344
HM,2019-10-14,1422
HM,2019-10-21,1233
HM,2019-10-28,1334
HM,2019-11-04,1126
HM,2019-11-11,571
HM,2019-11-18,614
HM,2019-11-25,690
HM,2019-12-02,748
HM,2019-12-09,732
HM,2019-12-16,794
HM,2019-12-23,662
HM,2019-12-30,254
HM,2020-00,427
HM,2020-01-06,1044
HM,2020-01-13,723
HM,2020-01-20,1066
HM,2020-01-27,1322
HM,2020-02-03,1219
HM,2020-02-10,1168
HM,2020-02-17,1132
HM,2020-02-24,1447
HM,2020-03-02,1358
HM,2020-03-09,1209
HM,2020-03-16,953
HM,2020-03-23,1073
