"country" "country_code" "continent" "population" "year_week" "weekly_count_cases" "rate_14_day_cases" "cumulative_count_cases" "weekly_count_deaths" "rate_14_day_deaths" "cumulative_count_deaths" "NKE - Open" "NKE - High" "NKE - Low" "NKE - Close" "NKE - Adj.Close" "NKE - Volume" "AAPL - Open" "AAPL - High" "AAPL - Low" "AAPL - Close" "AAPL - Adj.Close" "AAPL - Volume" "HNNMY - Open" "HNNMY - High" "HNNMY - Low" "HNNMY - Close" "HNNMY - Adj.Close" "HNNMY - Volume" "KO - Open" "KO - High" "KO - Low" "KO - Close" "KO - Adj.Close" "KO - Volume" "SBUX - Open" "SBUX - High" "SBUX - Low" "SBUX - Close" "SBUX - Adj.Close" "SBUX - Volume" "PEP - Open" "PEP - High" "PEP - Low" "PEP - Close" "PEP - Adj.Close" "PEP - Volume"
"United States" "USA" "America" 331002647 "2019-27" 0 0 0 0 0 0 85.3550015 86.23750125 84.915001 85.8475 84.425604 6057050 50.70062575 51.07125075 50.47499925 50.8075 49.95695675 72815700 166.8880004 167.9799988 165.0360014 166.5599976 162.3878204 3058584.4 51.6849995 52.03250025 51.4524995 51.94749925 49.08580075 9928900 85.7250005 86.5649985 85.352499 86.41000175 83.568876 6923150 132.487499 133.129997 131.685005 132.82749925 126.28056125 3248325
"United States" "USA" "America" 331002647 "2019-28" 0 0 0 0 0 0 87.7059996 88.7740006 87.3180008 88.274002 86.8119184 5488100 50.3809996 50.7514992 50.1345 50.4770004 49.63199 81280560 169.5040008 171.2880004 168.975998 169.8679992 165.6129608 2685387.2 51.9920006 52.1240012 51.7099998 51.914 49.0541464 9084960 88.05 88.6500002 87.7219984 88.3779998 85.4721558 5765460 133.3420014 134.0839996 132.1179992 133.2680024 126.6993544 5730920
"United States" "USA" "America" 331002647 "2019-29" 0 0 0 0 0 0 88.4679992 88.7820006 87.662001 87.9140012 86.4578764 5053500 51.1259994 51.4724998 50.8415 51.0655008 50.2106432 69913280 168.903998 169.8599976 167.4719972 168.5479982 164.3260256 1924573.8 52.1279998 52.268 51.745999 51.9739996 49.1108412 8708020 90.3820024 90.8699996 89.8320006 90.4580018 87.4837692 6712820 133.476001 134.0140014 131.9200012 132.7399994 126.1973786 3984660
"United States" "USA" "America" 331002647 "2019-30" 0 0 0 0 0 0 86.8220002 87.3279982 86.3459992 86.837999 85.3997012 5417340 51.8074998 52.2129996 51.5969994 51.9745002 51.1044212 69722560 169.0440002 170.5119992 167.9679962 169.0880006 164.8524996 1977083.8 53.172 53.8179998 52.6839996 53.314 50.3770218 18345780 91.9119998 92.912001 90.9160002 92.354001 89.3174316 9517340 130.1780028 131.0399994 129.152002 130.0880034 123.676091 4228640
"United States" "USA" "America" 331002647 "2019-31" 0 0 0 0 0 0 85.8699998 86.6119998 84.5160004 85.0220002 83.6137848 6079980 52.6534998 53.3314996 51.7710006 52.197499 51.3236876 175816400 169.1399994 171.2920014 167.3640014 169.3400024 165.0981902 2506360.4 53.2659988 53.6079994 52.6860002 52.940001 50.023629 13981200 96.440001 97.4980012 95.3220002 96.05 92.8919052 8613780 129.8759994 130.5679994 128.1839968 128.975998 122.618892 5086320
"United States" "USA" "America" 331002647 "2019-32" 0 0 0 0 0 0 80.9919998 82.05 80.1399994 81.3060012 79.959332 7020380 49.5605002 50.1284996 48.9559996 49.6899992 48.8957098 138569120 166.130001 168.63499825 165.45000075 167.1049995 162.919174 2670134.25 52.7059996 53.2979996 52.1420006 52.8419998 49.9310262 15577300 94.9600006 96.0359986 94.172 95.3659988 92.4413832 7080440 127.468004 128.795999 125.4419982 127.340001 121.063536 5046400
"United States" "USA" "America" 331002647 "2019-33" 0 0 0 0 0 0 80.9679992 81.9300004 80.2460004 81.1580004 79.8137818 6057600 50.5770006 51.6465006 50.286499 51.022 50.3584778 128876480 168.7359984 170.9999972 166.3839996 168.2800018 164.06474 3039431.4 53.3860002 53.9020006 53.2020006 53.5940004 50.6416006 11788120 95.6000002 96.5619982 94.7680008 95.701999 92.906157 6966100 129.4660004 130.7200012 128.9300002 129.975998 123.5696108 4069700
"United States" "USA" "America" 331002647 "2019-34" 0 0 0 0 0 0 81.936 82.5779996 80.887999 81.6299988 80.2779586 6690920 52.8555 53.3110002 52.1850008 52.4225008 51.7407684 113524000 175.3279998 178.6 174.8639984 176.848004 172.4181244 3703669.8 54.369999 54.6439994 53.8979992 54.1800004 51.195316 10325540 96.5699996 97.026001 95.5259992 95.9599992 93.1566226 6019460 132.3960022 133.174002 131.269998 131.9800018 125.4748352 3184420
"United States" "USA" "America" 331002647 "2019-35" 0 0 0 0 0 0 83.1779998 84.161998 82.6080002 83.5279998 82.1874604 4527900 51.8240006 52.0615006 51.2885002 51.6965004 51.0242074 87991680 183.5679992 186.4840026 181.8999968 184.7920014 180.1631286 4265338 54.7559998 55.040001 54.3939994 54.8920006 51.8680952 10163960 96.8599988 97.4039992 96.0399996 96.7839982 93.956543 5403000 134.2480012 135.6 133.7659974 135.2880004 128.6197938 4380500
"United States" "USA" "America" 331002647 "2019-36" 0 0 0 0 0 0 86.31500075 87.232502 86.10499975 87.032499 85.812088 5116425 52.55437475 52.8031245 52.2225 52.58937475 51.905469 82487100 186.9359984 188.520001 184.4600006 187.3040008 182.6122072 2671206.8 55.37999925 55.61499975 54.98999875 55.3549995 52.3055895 11620000 95.7975005 96.709999 94.9400005 96.0449985 93.23913375 6898475 137.4725 138.267498 136.175003 137.489998 131.1622125 3559425
"United States" "USA" "America" 331002647 "2019-37" 0 0 0 0 0 0 87.9020002 88.4179992 86.8200012 87.4479996 86.221762 5186060 54.5785004 55.2070002 54.0195008 54.8149994 54.1021474 140293520 190.2960022 191.6559968 188.1039978 190.047998 185.2874694 3303759.8 54.6259996 54.8840004 54.246 54.6120002 51.6784902 11287500 92.8200014 93.3459992 90.9479998 91.6060012 88.9298204 8251060 136.046002 137.0439942 135.4819978 136.4699982 130.6401278 4279460
"United States" "USA" "America" 331002647 "2019-38" 0 0 0 0 0 0 87.5819994 88.214 86.9059996 87.4639984 86.2375382 4672920 55.107 55.5060006 54.6979996 55.1029998 54.3864054 113832400 187.0040008 188.8959992 185.7080018 187.2279968 182.5381042 3437612.8 54.2639992 54.5239998 53.8880006 54.1720002 51.5620096 11798320 90.6539994 91.4899994 89.8899996 90.551999 87.9066088 6620100 135.5140016 136.0819978 134.5100008 135.254001 129.476068 3818060
"United States" "USA" "America" 331002647 "2019-39" 0 0 0 0 0 0 90.136 90.9619996 89.112001 90.0319992 88.7695298 11430480 54.9534996 55.2865006 54.4044998 54.807 54.0942556 93156160 187.9959992 189.9839968 186.7680022 188.5439972 183.8211366 2475638.2 54.3260002 54.5340006 54.0100006 54.2619992 51.6476686 8959560 90.5999998 90.9980014 89.15 89.85 87.2251176 5194620 135.7060028 136.0860016 134.7459994 135.4420012 129.6560366 3918700
"United States" "USA" "America" 331002647 "2019-40" 0 0 0 0 0 0 92.3319992 93.2319992 91.4819992 92.5959992 91.2975784 6622740 55.6549994 56.2415006 55.0969992 55.7675004 55.0422638 126897360 191.1320006 193.5560026 187.067999 189.9440002 185.1860748 6235121.8 54.078 54.4839998 53.5540002 54.1100008 51.502996 12305340 86.4380006 86.8680008 85.3160006 85.9679992 83.4565308 7004780 137.2339994 138.65 135.9139982 137.323999 131.4576356 5436220
"United States" "USA" "America" 331002647 "2019-41" 0 0 0 0 0 0 92.5720002 93.55 92.182001 92.8639984 91.5618164 5804460 57 57.6929992 56.7709998 57.2394996 56.4951226 117741120 199.0440002 201.55 196.9959994 200.602002 195.5771026 4218894 53.894001 54.0160006 53.4640008 53.6480004 51.0632546 8865280 85.9000002 86.3960008 85.4199996 85.786 83.2798428 4901500 137.8899994 138.6359986 137.122 137.792001 131.9056518 3273180
"United States" "USA" "America" 331002647 "2019-42" 0 0 0 0 0 0 94.7339982 95.5839994 94.402002 95.2419982 93.9064772 4689680 58.716999 59.2374996 58.5279998 58.8625002 58.0970158 84541920 204.6099976 207.349997 203.8 205.9 200.7423918 3222450.8 53.814 54.0879996 53.530001 53.7739998 51.1831826 11727620 86.6519988 87.1059998 85.9780016 86.4199998 83.8953262 4453080 137.1600004 137.545999 136.3620026 136.6820008 130.8430694 2901140
"United States" "USA" "America" 331002647 "2019-43" 0 0 0 0 0 0 94.364 94.7880022 92.9599992 93.3119994 92.0035388 8564500 60.4225008 60.8980002 60.1425002 60.6904998 59.9012436 77624400 206.1199952 207.5400024 204.1100006 206.2299988 201.0641234 2121883.2 54.3720002 54.604 53.918 54.2159996 51.6038858 10340540 84.3100006 84.6199998 83.1779998 83.6219984 81.179062 5518260 137.0159974 137.524002 136.3199984 136.9519988 131.101535 2642720
"United States" "USA" "America" 331002647 "2019-44" 0 0 0 0 0 0 90.3079986 90.6860002 89.317999 89.8100004 88.5506442 7898500 61.8964996 62.4699998 60.8460008 62.0089998 61.202597 130844320 204.45 205.0899994 202.4699982 203.7599976 198.6559938 2066706.2 53.8480002 54.1740006 53.4979986 53.8500002 51.2555224 9871640 84.878 85.3679992 83.242 83.9379988 81.4858338 9150220 136.7180024 137.5659972 136.0600006 136.7299988 130.8890198 3192760
"United States" "USA" "America" 331002647 "2019-45" 0 0 0 0 0 0 90.3339996 90.5139982 89.3319994 89.8860002 88.6255798 6490020 64.428998 64.7160008 64.1015 64.5720002 63.8092476 84792160 199.3480012 200.0799988 196.606 197.3799988 192.4358092 3779335.2 52.9439994 53.0579992 52.3099998 52.5719992 50.0390952 13791060 82.5940002 83.0160002 81.6439988 82.1939988 79.7927796 7193420 134.7660004 135.1420044 133.3140014 134.0120026 128.2871368 3418300
"United States" "USA" "America" 331002647 "2019-46" 0 0 0 0 0 0 90.6080002 91.8399994 90.2220002 91.0300004 89.7535352 5194260 65.4204986 66.0350006 65.2690018 65.8515014 65.1902616 92266720 187.8560028 188.7600006 185.347998 186.8840026 186.8840026 3610980.2 52.318 52.4159996 52.0099998 52.2519996 49.7345122 10151160 83.3020002 84.0520004 82.9100008 83.6559996 81.5380218 6921120 133.1200014 133.4220002 132.2199982 132.9599976 127.2800584 2886180
"United States" "USA" "America" 331002647 "2019-47" 0 0 0 0 0 0 93.4100008 94.0860016 92.5479998 93.2680008 91.960156 5505380 66.2759994 66.434999 65.6020004 66.0185014 65.3555832 91165040 182.6879976 184.0320008 181.0559998 182.4080018 182.4080018 3397499.2 53 53.3360002 52.8159988 53.064 50.5073888 11080240 83.5919998 84.0619996 82.8440018 83.3199998 81.2902114 6614040 134.0619966 134.9380006 133.498001 134.0700042 128.3426516 3218520
"United States" "USA" "America" 331002647 "2019-48" 0 0 0 0 0 0 93.75749975 94.147499 93.1624985 93.46500025 92.2145175 4471575 66.3643745 66.84875125 66.0143735 66.609375 65.9405215 75270300 183.3680022 185.3079988 182.4559998 183.9919982 183.9919982 2897452.8 53.55500025 53.789999 53.2025 53.6175015 51.12913775 10250200 84.51250075 85.29750075 84.1499995 84.87749875 82.80976875 6115325 135.177498 135.897499 134.41749975 135.31750125 129.536854 3503575
"United States" "USA" "America" 331002647 "2019-49" 0 0 0 0 0 0 94.3639984 94.7759996 93.6160002 94.5059998 93.4239336 5446720 65.8960006 66.3990006 65.5225006 66.0819994 65.4184432 91319840 186.9920014 189.751999 186.0359984 187.9119996 187.9119996 3785055.6 53.8699996 54.1380004 53.5940002 54.0899994 51.8685242 12641540 85.0019988 85.664 84.3379992 85.1119998 83.038556 6417300 136.223999 136.9819976 134.9820004 136.4680024 131.005249 3932640
"United States" "USA" "America" 331002647 "2019-50" 0 0 0 0 0 0 97.0860002 97.8019988 96.6500018 97.2619994 96.1483762 5016440 67.3324998 67.9914994 66.8759994 67.6389998 66.9598098 113623520 192.6 193.8920014 190.0800016 192.2399964 192.2399964 3593515.4 54.0459992 54.346 53.8379998 54.0699996 51.8493462 11213140 87.0179994 87.7300002 86.5680008 87.1579986 85.0347152 7405520 137.1079988 137.8679962 136.4860014 137.1300018 132.191394 3444440
"United States" "USA" "America" 331002647 "2019-51" 0 0 0 0 0 0 99.8439986 100.5939988 99.0339996 100.0280002 98.8827058 10490020 69.9050004 70.4144986 69.6205002 69.9734986 69.270868 146544000 192.2440002 194.0679994 190.3279998 193.0160004 193.0160004 3277328.2 54.52 54.740001 54.1879996 54.4079994 52.1734666 14223780 88.6040008 88.9419996 87.8380004 88.375998 86.2230424 8031060 136.9360016 137.4260038 135.7180024 136.7179992 131.794223 5903260
"United States" "USA" "America" 331002647 "2019-52" 0 0 0 0 0 0 100.35000025 100.97250175 100.102501 100.61499975 99.462984 4674000 71.3225005 72.06812675 71.006876 71.74874875 71.02829175 96609500 192.5899965 193.4899975 191.6500015 192.9800035 192.9800035 1620521 54.93249875 55.17750075 54.8175 54.99749925 52.73875425 6446025 88.415001 88.66749925 87.91500075 88.23999975 86.090355 3626125 137.130001 137.607502 136.46000275 137.03999675 132.104637 2425550
"United States" "USA" "America" 331002647 "2020-01" 0 0 0 0 0 0 101.0175 101.80249975 100.574999 101.557499 100.3946915 4223675 73.298748 74.2218745 72.9018745 73.93437375 73.191967 131680800 191.686666 193.279998666667 189.70667 191.153330666667 191.153330666667 2052767 55.00500025 55.2975005 54.72249975 55.07499975 52.81307225 9409125 88.05750275 88.65999775 87.62999925 88.385 86.231823 5029775 136.43000025 137.31249625 135.69499975 136.232502 131.32622525 3509575
"United States" "USA" "America" 331002647 "2020-02" 0 0 0 0 0 0 101.5799988 102.2119994 100.936 101.5080018 100.345761 5283460 75.4315004 76.4199996 75.0920014 76.067 75.30318 134018320 191.1399995 193.19499975 187.795002 190.119995 190.119995 3678842.25 54.7700006 55.0959998 54.622001 54.827999 52.576214 12757260 89.012001 89.5680008 88.4159988 89.1119996 86.941115 7152440 135.2440002 135.7100036 134.4279998 134.8359956 129.980008 4107760
"United States" "USA" "America" 331002647 "2020-03" 0 0 0 0 0 0 102.6019988 103.609999 102.367999 103.154001 101.9729156 5772600 78.502501 79.229001 77.9979994 78.7474992 77.9567628 130411120 184.7439972 186.0720002 183.423999 184.603998 184.603998 3111426.4 56.2979996 56.7200008 56.132 56.5180002 54.1968064 14576400 91.5460006 92.3160004 91.301999 91.9620012 89.7216874 6305220 137.4639984 138.8520018 137.126001 138.6899996 133.6952088 5235220
"United States" "USA" "America" 331002647 "2020-04" 5 0.001510562 5 0 0 0 104.21749875 104.64250175 103.12750075 103.529999 102.34460825 5207075 79.62125025 80.11874775 79.1549985 79.48812675 78.68995475 115921300 185.8439972 187.9480012 185.2079956 186.6199982 186.6199982 2402696 57.33249925 57.652499 57.11250025 57.57250025 55.20800125 11572925 92.97249975 93.83249825 91.68499925 92.70999925 90.45146 6792025 142.33499925 143.4225005 141.71999725 142.9524995 137.80421075 4128325
"United States" "USA" "America" 331002647 "2020-05" 6 0.003323236 11 0 0 0 99.3499986 100.2520004 97.9979996 98.9960006 97.862523 7172740 79.4290008 80.2394988 78.274501 79.2180008 78.42254 173346960 194.9160004 198.6480012 193.3299988 196.6200012 196.6200012 6971279.4 57.7120002 58.1839996 57.3340004 57.7519998 55.3801292 16134900 87.414 87.931999 86.0160002 86.944 84.8259276 12917280 142.3820008 143.4679994 141.4140014 142.4320006 137.3024506 3775680
