,brand,Date,trend
144,Nike,2020-04-06,0.6428571428571429
145,Nike,2020-04-13,0.5777777777777777
146,Nike,2020-04-20,0.5714285714285714
147,Nike,2020-04-27,0.44
148,Nike,2020-05-04,0.5483870967741935
149,Nike,2020-05-11,0.6274509803921569
150,Nike,2020-05-18,0.8372093023255814
151,Nike,2020-05-25,0.5666666666666667
152,Nike,2020-06-01,0.6764705882352942
153,Nike,2020-06-08,0.8484848484848485
154,Nike,2020-06-15,0.9166666666666666
155,Nike,2020-06-22,0.4714285714285714
156,Nike,2020-06-29,0.546875
157,Nike,2020-07-06,0.48148148148148145
158,Nike,2020-07-13,0.48
159,Nike,2020-07-20,0.5540540540540541
160,Nike,2020-07-27,0.5217391304347826
161,Nike,2020-08-03,0.7083333333333334
162,Nike,2020-08-10,0.828125
163,Nike,2020-08-17,0.9298245614035088
164,Nike,2020-08-24,0.6046511627906976
165,Nike,2020-08-31,0.6538461538461539
166,Nike,2020-09-07,0.7272727272727273
167,Nike,2020-09-14,0.8405797101449275
168,Nike,2020-09-21,0.527448869752422
169,Nike,2020-09-28,0.5903614457831325
170,Nike,2020-10-05,0.6555555555555556
171,Nike,2020-10-12,0.7037037037037037
172,Nike,2020-10-19,0.6739130434782609
173,Nike,2020-10-26,0.5454545454545454
174,Nike,2020-11-02,0.85
175,Nike,2020-11-09,0.8888888888888888
176,Nike,2020-11-16,0.8275862068965517
177,Nike,2020-11-23,0.8387096774193549
178,Nike,2020-11-30,0.7777777777777778
179,Nike,2020-12-07,0.8787878787878788
180,Nike,2020-12-14,0.8522167487684729
181,Nike,2020-12-21,0.8536585365853658
182,Nike,2020-12-28,1.0
183,Nike,2021-01-04,0.8181818181818182
184,Nike,2021-01-11,0.8
185,Nike,2021-01-18,0.8275862068965517
186,Nike,2021-01-25,0.975
187,Nike,2021-02-01,0.96875
188,Nike,2021-02-08,0.8181818181818182
189,Nike,2021-02-15,0.8235294117647058
190,Nike,2021-02-22,0.8222222222222222
191,Nike,2021-03-01,0.7777777777777778
192,Nike,2021-03-08,0.8205128205128205
193,Nike,2021-03-15,0.7446808510638298
194,Nike,2021-03-22,0.6235294117647059
195,Nike,2021-13,0.6721311475409836
196,Nike,2021-14,0.8648648648648649
197,Nike,2021-15,0.8666666666666667
198,Nike,2021-16,0.49019607843137253
199,Nike,2021-17,1.0
