brand,sentiment_neg,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc
Airbnb,0.03162431368486481,0.11408244069201286,21.7,78.3
Apple,0.02937932800340853,0.09663440956027096,23.31,76.69
Coca-Cola,0.029606735035275295,0.10657659951026742,21.74,78.26
HM,0.010769284646108997,0.24180621651806838,4.26,95.74
Nike,0.021890676378106908,0.14728037388778573,12.94,87.06
Starbucks,0.03393734188994506,0.1393043571167619,19.59,80.41
