Date,Open,High,Low,Close,Adj Close,Volume,Brand Abbreviation,pct_change,Brand Name
2019-07-01,50.79,51.27,50.16,51.06,49.68,291262800,AAPL,,Apple
2019-07-08,50.2,51.1,49.6,50.83,49.46,406402800,AAPL,-0.45045045045045695,Apple
2019-07-15,51.02,51.62,50.59,50.65,49.28,349566400,AAPL,-0.35412158174306096,Apple
2019-07-22,50.91,52.43,50.9,51.94,50.54,348612800,AAPL,2.546890424481729,Apple
2019-07-29,52.12,55.34,50.41,51.01,49.63,879082000,AAPL,-1.7905275317674274,Apple
2019-08-05,49.5,50.88,48.14,50.25,48.89,692845600,AAPL,-1.4899039404038361,Apple
2019-08-12,49.9,53.04,49.79,51.62,50.42,644382400,AAPL,2.7263681592039735,Apple
2019-08-19,52.65,53.61,50.25,50.66,49.48,567620000,AAPL,-1.8597442851607915,Apple
2019-08-26,51.46,52.61,50.83,52.19,50.97,439958400,AAPL,3.0201342281879207,Apple
2019-09-02,51.61,53.6,51.06,53.31,52.08,329948400,AAPL,2.1460049817972893,Apple
2019-09-09,53.71,56.6,52.77,54.69,53.42,701467600,AAPL,2.5886325267304278,Apple
2019-09-16,54.43,55.94,54.37,54.43,53.17,569162000,AAPL,-0.47540683854452315,Apple
2019-09-23,54.74,55.62,54.28,54.71,53.43,465780800,AAPL,0.5144221936432158,Apple
2019-09-30,55.22,57.06,53.78,56.75,55.43,634486800,AAPL,3.728751599341984,Apple
2019-10-07,56.57,59.41,56.08,59.05,57.68,588705600,AAPL,4.052863436123344,Apple
2019-10-14,58.72,59.53,58.3,59.1,57.73,422709600,AAPL,0.08467400508045397,Apple
2019-10-21,59.38,61.68,59.33,61.64,60.21,388122000,AAPL,4.297800338409474,Apple
2019-10-28,61.86,63.98,59.31,63.96,62.47,654221600,AAPL,3.7637897469175785,Apple
2019-11-04,64.33,65.11,63.84,65.04,63.52,423960800,AAPL,1.6885553470919357,Apple
2019-11-11,64.57,66.44,64.57,66.44,65.09,461333600,AAPL,2.152521525215234,Apple
2019-11-18,66.45,67.0,65.1,65.44,64.11,455825200,AAPL,-1.5051173991571298,Apple
2019-11-25,65.68,67.0,65.62,66.81,65.45,301081200,AAPL,2.0935207823960855,Apple
2019-12-02,66.82,67.75,64.07,67.68,66.3,456599200,AAPL,1.3022002694207613,Apple
2019-12-09,67.5,68.82,66.23,68.79,67.39,568117600,AAPL,1.6400709219858145,Apple
2019-12-16,69.25,70.66,69.25,69.86,68.44,732720000,AAPL,1.5554586422445116,Apple
2019-12-23,70.13,73.49,70.09,72.45,70.98,386438000,AAPL,3.707414829659328,Apple
2019-12-30,72.36,75.15,71.31,74.36,72.85,526723200,AAPL,2.6363008971704627,Apple
