Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,146.550003,151.500000,135.100006,139.250000,139.250000,26980800
2020-12-14,135.000000,159.000000,121.500000,157.300003,157.300003,79299000
2020-12-21,155.309998,174.970001,145.110001,154.839996,154.839996,37134600
2020-12-28,158.600006,163.639999,143.119995,146.800003,146.800003,17889700
2021-01-04,150.990005,155.539993,137.000000,149.770004,149.770004,25696400
2021-01-11,147.990005,187.419998,143.610001,169.270004,169.270004,41957400
2021-01-18,173.000000,185.307007,155.330002,181.869995,181.869995,37958000
2021-01-25,186.050003,216.000000,170.029999,183.630005,183.630005,36561100
2021-02-01,187.479996,197.250000,177.110001,195.309998,195.309998,18961200
2021-02-08,199.929993,219.940002,191.500000,212.679993,212.679993,20108000
2021-02-15,216.240005,218.779999,192.169998,201.070007,201.070007,12975700
2021-02-22,200.699997,214.100006,175.000000,206.350006,206.350006,46497200
