brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Airbnb,2019-07-01,0.027131999263509763,0.8602439244936825,0.11262228882529805,19.41,80.59,61.18000000000001
Airbnb,2019-07-08,0.024878366761836444,0.857040776591164,0.11807279305027212,17.4,82.6,65.19999999999999
Airbnb,2019-07-15,0.024486354916567865,0.8571413325102796,0.11836139392410079,17.14,82.86,65.72
Airbnb,2019-07-22,0.022298064893302855,0.8606713856698424,0.11703522039397322,16.0,84.0,68.0
Airbnb,2019-07-29,0.02705566145128551,0.8485034015726611,0.12444605388976286,17.86,82.14,64.28
Airbnb,2019-08-05,0.029175920963824913,0.8623085791607439,0.10851287522660026,21.19,78.81,57.620000000000005
Airbnb,2019-08-12,0.024870637173400663,0.849586532660461,0.1255414787700923,16.53,83.47,66.94
Airbnb,2019-08-19,0.02388805803776407,0.8552705447448903,0.12084250156615697,16.51,83.49,66.97999999999999
Airbnb,2019-08-26,0.02677263803703872,0.8501688907517998,0.12305732445648476,17.87,82.13,64.25999999999999
Airbnb,2019-09-02,0.027224035301039895,0.8448904377324957,0.12789270972892744,17.55,82.45,64.9
Airbnb,2019-09-09,0.023175859324528956,0.8435195575015537,0.13330259505392286,14.81,85.19,70.38
Airbnb,2019-09-16,0.0223142221879308,0.859315766317896,0.11836918450701109,15.86,84.14,68.28
Airbnb,2019-09-23,0.02372140823810237,0.8596824759632015,0.11659341545138088,16.91,83.09,66.18
Airbnb,2019-09-30,0.023037356677392044,0.8574655218405252,0.11949590852919185,16.16,83.84,67.68
Airbnb,2019-10-07,0.028132348158045755,0.8489816897549721,0.1228906690541043,18.63,81.37,62.74000000000001
Airbnb,2019-10-14,0.02665881082075836,0.8649464537882366,0.10840054846843923,19.74,80.26,60.52000000000001
Airbnb,2019-10-21,0.024279778140228952,0.8501827936371473,0.12553588772674737,16.21,83.79,67.58000000000001
Airbnb,2019-10-28,0.05093941178889309,0.8381910078826994,0.11086860904524538,31.48,68.52,37.03999999999999
Airbnb,2019-11-04,0.06612462426970744,0.8329986478087601,0.100874968498197,39.6,60.4,20.799999999999997
Airbnb,2019-11-11,0.034772988497432884,0.8431866964596704,0.12203556211456461,22.18,77.82,55.63999999999999
Airbnb,2019-11-18,0.03272215538333424,0.8472075227077612,0.120063970390607,21.42,78.58,57.16
Airbnb,2019-11-25,0.025080728976536428,0.838126688156657,0.1367817375716444,15.5,84.5,69.0
Airbnb,2019-12-02,0.026194684543017165,0.8406837820102975,0.13311914278039075,16.44,83.56,67.12
Airbnb,2019-12-09,0.02046390850527675,0.8541050033799974,0.12543027760491193,14.03,85.97,71.94
Airbnb,2019-12-16,0.023944595375572728,0.8613438913994579,0.1147075001606455,17.27,82.73,65.46000000000001
Airbnb,2019-12-23,0.02168086720549674,0.8546385336358684,0.12368603029618354,14.91,85.09,70.18
Airbnb,2019-12-30,0.024950088195701617,0.8623243629021028,0.11271950285475561,18.12,81.88,63.75999999999999
Airbnb,2020-00,0.024392067045592263,0.8586741216721538,0.1169391055087024,17.26,82.74,65.47999999999999
Airbnb,2020-01-06,0.025590316482504094,0.8667645395978012,0.10764473239528591,19.21,80.79,61.580000000000005
Airbnb,2020-01-13,0.01926516679340865,0.8677117133629214,0.1130224719610836,14.56,85.44,70.88
Airbnb,2020-01-20,0.020500169638771635,0.8706585041596904,0.10884083882018739,15.85,84.15,68.30000000000001
Airbnb,2020-01-27,0.019702103905834805,0.8658238237163555,0.1144691194680363,14.68,85.32,70.63999999999999
Airbnb,2020-02-03,0.032844919510654574,0.8583735391446554,0.10877957881367238,23.19,76.81,53.620000000000005
Airbnb,2020-02-10,0.035570036158936766,0.8634268704684738,0.10100061871574331,26.05,73.95,47.900000000000006
Airbnb,2020-02-17,0.023999673859130936,0.8666338685869911,0.10936271025537304,18.0,82.0,64.0
Airbnb,2020-02-24,0.024393113796784056,0.8695117578804062,0.10609806048625961,18.69,81.31,62.620000000000005
Airbnb,2020-03-02,0.03244727254605612,0.8606113000049517,0.10694386192479376,23.28,76.72,53.44
Airbnb,2020-03-09,0.04338674761072183,0.84583064831877,0.11079412080518114,28.14,71.86,43.72
Airbnb,2020-03-16,0.05155933708309774,0.8534063047853836,0.09504450551506474,35.17,64.83,29.659999999999997
Airbnb,2020-03-23,0.05437752166795252,0.8529480205594313,0.09266646678993713,36.98,63.02,26.040000000000006
Airbnb,2020-03-30,0.058971133478272285,0.8317941019176823,0.1092360110596048,35.06,64.94,29.879999999999995
Airbnb,2020-04-06,0.052655374761136776,0.8598213748408771,0.08752390832351388,37.56,62.44,24.879999999999995
Airbnb,2020-04-13,0.046336879017522925,0.8514519298047581,0.10220602025190496,31.19,68.81,37.620000000000005
Airbnb,2020-04-20,0.03359907491153019,0.8572815962601821,0.10910903623734865,23.54,76.46,52.919999999999995
Airbnb,2020-04-27,0.04558789161822736,0.8482868820517676,0.10610609535297674,30.05,69.95,39.900000000000006
Airbnb,2020-05-04,0.04234839099286767,0.858882575456969,0.09876077487859429,30.01,69.99,39.97999999999999
Airbnb,2020-05-11,0.034109348696861684,0.8545160872932996,0.11137349425693321,23.45,76.55,53.099999999999994
Airbnb,2020-05-18,0.03314791475988571,0.8448493349394335,0.12199356595220433,21.37,78.63,57.25999999999999
Airbnb,2020-05-25,0.028277772927881143,0.8604419286185351,0.11127826406240453,20.26,79.74,59.47999999999999
Airbnb,2020-06-01,0.0284032609953134,0.8485728763875345,0.12302607802468328,18.76,81.24,62.47999999999999
