year,week,Brand Abbreviation,Adj.Close,Close,High,Low,Open,Volume,Brand Name,Year-Week,week increment,Adj.Close_Lag_1,pct_change,Date
2019,27,AAPL,49.96,50.81,51.07,50.47,50.7,72815700.0,Apple,2019-27,1,,,2019-07-07
2019,28,AAPL,49.63,50.48,50.75,50.13,50.38,81280560.0,Apple,2019-28,2,49.96,-0.0066052842273818715,2019-07-14
2019,29,AAPL,50.21,51.07,51.47,50.84,51.13,69913280.0,Apple,2019-29,3,49.63,0.011686479951642117,2019-07-21
2019,30,AAPL,51.1,51.97,52.21,51.6,51.81,69722560.0,Apple,2019-30,4,50.21,0.017725552678749264,2019-07-28
2019,31,AAPL,51.32,52.2,53.33,51.77,52.65,175816400.0,Apple,2019-31,5,51.1,0.00430528375733853,2019-08-04
2019,32,AAPL,48.9,49.69,50.13,48.96,49.56,138569120.0,Apple,2019-32,6,51.32,-0.04715510522213565,2019-08-11
2019,33,AAPL,50.36,51.02,51.65,50.29,50.58,128876480.0,Apple,2019-33,7,48.9,0.02985685071574644,2019-08-18
2019,34,AAPL,51.74,52.42,53.31,52.19,52.86,113524000.0,Apple,2019-34,8,50.36,0.027402700555996876,2019-08-25
2019,35,AAPL,51.02,51.7,52.06,51.29,51.82,87991680.0,Apple,2019-35,9,51.74,-0.01391573250869731,2019-09-01
2019,36,AAPL,51.91,52.59,52.8,52.22,52.55,82487100.0,Apple,2019-36,10,51.02,0.017444139553116297,2019-09-08
2019,37,AAPL,54.1,54.81,55.21,54.02,54.58,140293520.0,Apple,2019-37,11,51.91,0.04218840300520141,2019-09-15
2019,38,AAPL,54.39,55.1,55.51,54.7,55.11,113832400.0,Apple,2019-38,12,54.1,0.005360443622920502,2019-09-22
2019,39,AAPL,54.09,54.81,55.29,54.4,54.95,93156160.0,Apple,2019-39,13,54.39,-0.005515719801434035,2019-09-29
2019,40,AAPL,55.04,55.77,56.24,55.1,55.65,126897360.0,Apple,2019-40,14,54.09,0.01756332039193928,2019-10-06
2019,41,AAPL,56.5,57.24,57.69,56.77,57.0,117741120.0,Apple,2019-41,15,55.04,0.02652616279069769,2019-10-13
2019,42,AAPL,58.1,58.86,59.24,58.53,58.72,84541920.0,Apple,2019-42,16,56.5,0.028318584070796484,2019-10-20
2019,43,AAPL,59.9,60.69,60.9,60.14,60.42,77624400.0,Apple,2019-43,17,58.1,0.03098106712564539,2019-10-27
2019,44,AAPL,61.2,62.01,62.47,60.85,61.9,130844320.0,Apple,2019-44,18,59.9,0.021702838063439138,2019-11-03
2019,45,AAPL,63.81,64.57,64.72,64.1,64.43,84792160.0,Apple,2019-45,19,61.2,0.0426470588235294,2019-11-10
2019,46,AAPL,65.19,65.85,66.04,65.27,65.42,92266720.0,Apple,2019-46,20,63.81,0.02162670427832621,2019-11-17
2019,47,AAPL,65.36,66.02,66.43,65.6,66.28,91165040.0,Apple,2019-47,21,65.19,0.0026077619266758967,2019-11-24
2019,48,AAPL,65.94,66.61,66.85,66.01,66.36,75270300.0,Apple,2019-48,22,65.36,0.008873929008567906,2019-12-01
2019,49,AAPL,65.42,66.08,66.4,65.52,65.9,91319840.0,Apple,2019-49,23,65.94,-0.007885956930542858,2019-12-08
2019,50,AAPL,66.96,67.64,67.99,66.88,67.33,113623520.0,Apple,2019-50,24,65.42,0.023540201773157934,2019-12-15
2019,51,AAPL,69.27,69.97,70.41,69.62,69.91,146544000.0,Apple,2019-51,25,66.96,0.034498207885304694,2019-12-22
2019,52,AAPL,71.03,71.75,72.07,71.01,71.32,96609500.0,Apple,2019-52,26,69.27,0.025407824455031112,2019-12-29
2020,1,AAPL,73.19,73.93,74.22,72.9,73.3,131680800.0,Apple,2020-01,27,71.03,0.030409686048148622,2020-01-05
2020,2,AAPL,75.3,76.07,76.42,75.09,75.43,134018320.0,Apple,2020-02,28,73.19,0.028829075010247295,2020-01-12
2020,3,AAPL,77.96,78.75,79.23,78.0,78.5,130411120.0,Apple,2020-03,29,75.3,0.03532536520584325,2020-01-19
2020,4,AAPL,78.69,79.49,80.12,79.15,79.62,115921300.0,Apple,2020-04,30,77.96,0.009363776295536225,2020-01-26
2020,5,AAPL,78.42,79.22,80.24,78.27,79.43,173346960.0,Apple,2020-05,31,78.69,-0.0034311856652687257,2020-02-02
2020,6,AAPL,78.95,79.71,80.33,78.65,79.4,130507680.0,Apple,2020-06,32,78.42,0.006758479979597056,2020-02-09
2020,7,AAPL,80.29,80.91,81.24,80.01,80.41,98452720.0,Apple,2020-07,33,78.95,0.016972767574414228,2020-02-16
2020,8,AAPL,79.13,79.75,80.59,78.96,79.79,119158800.0,Apple,2020-08,34,80.29,-0.01444762735085329,2020-02-23
2020,9,AAPL,70.74,71.29,73.45,69.56,71.16,279682800.0,Apple,2020-09,35,79.13,-0.10602805509920385,2020-03-01
2020,10,AAPL,73.07,73.64,74.96,71.46,73.0,258760160.0,Apple,2020-10,36,70.74,0.03293751767034207,2020-03-08
2020,11,AAPL,67.14,67.66,69.78,65.26,66.96,323367920.0,Apple,2020-11,37,73.07,-0.08115505679485416,2020-03-15
2020,12,AAPL,60.32,60.79,63.57,59.31,61.19,324052720.0,Apple,2020-12,38,67.14,-0.10157879058683349,2020-03-22
2020,13,AAPL,60.68,61.15,62.45,59.23,60.72,276838000.0,Apple,2020-13,39,60.32,0.0059681697612732005,2020-03-29
