brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Airbnb,2019-07-01,0.026629213483146067,0.8845318352059924,0.08883520599250937,23.06,76.94,53.879999999999995
Airbnb,2019-07-02,0.02465934065934066,0.8735641025641026,0.10176556776556776,19.51,80.49,60.97999999999999
Airbnb,2019-07-03,0.03401304347826087,0.8556695652173913,0.11030869565217391,23.57,76.43,52.86000000000001
Airbnb,2019-07-04,0.029145374449339206,0.8415286343612334,0.1293215859030837,18.39,81.61,63.22
Airbnb,2019-07-05,0.022982954545454546,0.8562613636363636,0.12076704545454545,15.99,84.01,68.02000000000001
Airbnb,2019-07-06,0.025362068965517244,0.8499080459770115,0.12473563218390805,16.9,83.1,66.19999999999999
Airbnb,2019-07-07,0.024248275862068965,0.8577655172413794,0.11799310344827588,17.05,82.95,65.9
Airbnb,2019-07-08,0.01944,0.8697400000000001,0.11080999999999999,14.93,85.07,70.13999999999999
Airbnb,2019-07-09,0.034965811965811965,0.8384145299145299,0.1266068376068376,21.64,78.36,56.72
Airbnb,2019-07-10,0.023455645161290322,0.8503104838709677,0.1262258064516129,15.67,84.33,68.66
Airbnb,2019-07-11,0.027890829694323143,0.8562489082969432,0.11585589519650655,19.4,80.6,61.199999999999996
Airbnb,2019-07-12,0.022586206896551726,0.8772835249042146,0.10013026819923372,18.41,81.59,63.18000000000001
Airbnb,2019-07-13,0.02156179775280899,0.8495224719101124,0.1288876404494382,14.33,85.67,71.34
Airbnb,2019-07-14,0.022527950310559004,0.8379192546583851,0.139527950310559,13.9,86.1,72.19999999999999
Airbnb,2019-07-15,0.02596153846153846,0.849489010989011,0.12454945054945055,17.25,82.75,65.5
Airbnb,2019-07-16,0.015280334728033473,0.8685146443514644,0.11619246861924686,11.62,88.38,76.75999999999999
Airbnb,2019-07-17,0.027309160305343513,0.8540839694656489,0.11860305343511451,18.72,81.28,62.56
Airbnb,2019-07-18,0.020441666666666667,0.8652416666666666,0.11429583333333333,15.17,84.83,69.66
Airbnb,2019-07-19,0.030328888888888888,0.8519111111111112,0.11775111111111111,20.48,79.52,59.03999999999999
Airbnb,2019-07-20,0.029554945054945058,0.8728296703296703,0.09760989010989012,23.24,76.76,53.52000000000001
Airbnb,2019-07-21,0.019342105263157893,0.8633815789473684,0.11727631578947369,14.16,85.84,71.68
Airbnb,2019-07-22,0.02490134529147982,0.8590134529147982,0.11609417040358744,17.66,82.34,64.68
Airbnb,2019-07-23,0.023106995884773662,0.8572880658436214,0.1195843621399177,16.19,83.81,67.62
Airbnb,2019-07-24,0.017334763948497853,0.8751330472103005,0.10751931330472103,13.88,86.12,72.24000000000001
Airbnb,2019-07-25,0.018332,0.864808,0.11686,13.56,86.44,72.88
Airbnb,2019-07-26,0.025200980392156864,0.8497941176470588,0.12504411764705883,16.77,83.23,66.46000000000001
Airbnb,2019-07-27,0.027868263473053892,0.8552814371257484,0.11686826347305389,19.25,80.75,61.5
Airbnb,2019-07-28,0.0353448275862069,0.8362873563218391,0.1283735632183908,21.59,78.41,56.81999999999999
Airbnb,2019-07-29,0.02609486166007905,0.8713873517786562,0.1024901185770751,20.29,79.71,59.419999999999995
Airbnb,2019-07-30,0.030720306513409963,0.8583908045977011,0.1109080459770115,21.69,78.31,56.620000000000005
Airbnb,2019-07-31,0.020890995260663504,0.8418436018957346,0.13728436018957346,13.21,86.79,73.58000000000001
Airbnb,2019-08-01,0.023414285714285714,0.8522238095238096,0.12437142857142856,15.84,84.16,68.32
Airbnb,2019-08-02,0.0277979797979798,0.8391161616161616,0.1330959595959596,17.28,82.72,65.44
Airbnb,2019-08-03,0.025126373626373627,0.8402747252747254,0.1345989010989011,15.73,84.27,68.53999999999999
Airbnb,2019-08-04,0.034710691823899374,0.8566792452830188,0.10860377358490567,24.22,75.78,51.56
Airbnb,2019-08-05,0.022642241379310344,0.8614439655172413,0.11591810344827587,16.34,83.66,67.32
Airbnb,2019-08-06,0.025111111111111112,0.8719386973180077,0.10294252873563217,19.61,80.39,60.78
Airbnb,2019-08-07,0.028443579766536966,0.8651750972762645,0.10637354085603114,21.1,78.9,57.800000000000004
Airbnb,2019-08-08,0.03324644549763033,0.8554407582938388,0.11132701421800947,23.0,77.0,54.0
Airbnb,2019-08-09,0.02266528925619835,0.8675537190082645,0.10976033057851241,17.12,82.88,65.75999999999999
Airbnb,2019-08-10,0.037412087912087916,0.8579285714285715,0.10466483516483516,26.33,73.67,47.34
Airbnb,2019-08-11,0.026680981595092027,0.8431533742331289,0.13017177914110428,17.01,82.99,65.97999999999999
Airbnb,2019-08-12,0.023220095693779905,0.8467368421052631,0.13004306220095696,15.15,84.85,69.69999999999999
Airbnb,2019-08-13,0.04117596566523605,0.8509098712446352,0.10792274678111588,27.62,72.38,44.75999999999999
Airbnb,2019-08-14,0.030152941176470587,0.8506392156862745,0.11920392156862744,20.19,79.81,59.620000000000005
Airbnb,2019-08-15,0.018932432432432433,0.862972972972973,0.11810360360360361,13.82,86.18,72.36000000000001
Airbnb,2019-08-16,0.02183482142857143,0.8327767857142857,0.14536607142857141,13.06,86.94,73.88
Airbnb,2019-08-17,0.012097222222222223,0.8599166666666667,0.12797916666666664,8.64,91.36,82.72
Airbnb,2019-08-18,0.024981042654028434,0.8551090047393365,0.11991943127962086,17.24,82.76,65.52000000000001
Airbnb,2019-08-19,0.017514893617021274,0.8603106382978724,0.12217872340425531,12.54,87.46,74.91999999999999
