brand,date_axis,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc
Airbnb,2019-07-31,0.020890995260663504,0.8418436018957346,0.13728436018957346,13.21,86.79
Airbnb,2019-08-31,0.026106110278156056,0.8533211783109665,0.12057243707747194,17.8,82.2
Airbnb,2019-09-30,0.02390923724633999,0.8523638242607806,0.12372718864252175,16.19,83.81
Airbnb,2019-10-31,0.027351845206909323,0.8546574869019131,0.11799186186782133,18.82,81.18
Airbnb,2019-11-30,0.043070059184771,0.837852333169277,0.11907256619339236,26.56,73.44
Airbnb,2019-12-31,0.02325285980621447,0.853624889086634,0.12312126336965125,15.89,84.11
Airbnb,2020-01-31,0.02149185452894524,0.866458587749023,0.11204877317425635,16.09,83.91
Airbnb,2020-02-29,0.02911652685542225,0.8647176753410335,0.10616453000146048,21.52,78.48
Airbnb,2020-03-31,0.046424069426883784,0.8512089424537123,0.10237083956587169,31.2,68.8
Airbnb,2020-04-30,0.046707394634286734,0.852588594426484,0.10069762302670403,31.69,68.31
Airbnb,2020-05-31,0.034932072866829936,0.8535622792327676,0.11149959418675327,23.86,76.14
Airbnb,2020-06-30,0.03337633571551925,0.8448639339378662,0.12175590800943242,21.51,78.49
Airbnb,2020-07-31,0.03125633803585063,0.8420498136257286,0.1266946396993796,19.79,80.21
Airbnb,2020-08-31,0.039729774390488824,0.8318858465746333,0.12839011186548627,23.63,76.37
Airbnb,2020-09-30,0.02628145705410794,0.8722413821596138,0.10147681108284345,20.57,79.43
Airbnb,2020-10-31,0.023673541509661705,0.85809864865785,0.11822865859209669,16.68,83.32
Apple,2019-07-31,0.027486187845303867,0.8763650658733532,0.0961432214194645,22.23,77.77
Apple,2019-08-31,0.03069856153769131,0.8694673340322925,0.09983695186503243,23.52,76.48
Apple,2019-09-30,0.028838272588377307,0.8753332321968608,0.09582713803105235,23.13,76.87
Apple,2019-10-31,0.03150012421233912,0.8599338291087669,0.10856642449901446,22.49,77.51
Apple,2019-11-30,0.030510365346083503,0.8646011379589894,0.10489022622556918,22.53,77.47
Apple,2019-12-31,0.02864076915386453,0.8688631632770858,0.10249405879070672,21.84,78.16
Apple,2020-01-31,0.03188394845850238,0.8723297932543317,0.09578514121695134,24.97,75.03
Apple,2020-02-29,0.028707683547760588,0.8779869624958639,0.09330522656488775,23.53,76.47
Apple,2020-03-31,0.02567420834901482,0.8826657724279806,0.09166280073206984,21.88,78.12
Apple,2020-04-30,0.026956234716638498,0.8812645568810255,0.0917770404325013,22.7,77.3
Apple,2020-05-31,0.028680787342901536,0.874810859977936,0.09650730652763531,22.91,77.09
Apple,2020-06-30,0.028821542841690376,0.8776130010098057,0.09356883363856577,23.55,76.45
Apple,2020-07-31,0.028517152671439734,0.8760107323307623,0.0954752974144903,23.0,77.0
Apple,2020-08-31,0.03403022092380662,0.8738058804092351,0.09216271440962617,26.97,73.03
Apple,2020-09-30,0.028286784219569906,0.8756380444369877,0.09607478570911036,22.75,77.25
Apple,2020-10-31,0.028115377891859132,0.872296812023376,0.09958707867374493,22.02,77.98
Coca-Cola,2019-07-31,0.0256125,0.88285,0.0915875,21.85,78.15
Coca-Cola,2019-08-31,0.02569383944223189,0.8789979629670167,0.0953115893610849,21.23,78.77
Coca-Cola,2019-09-30,0.022754435922853634,0.8757600478726792,0.10148746350069993,18.31,81.69
Coca-Cola,2019-10-31,0.03235608335936023,0.8540660994029273,0.11358320666435053,22.17,77.83
Coca-Cola,2019-11-30,0.03192198550838292,0.862424673835266,0.10565400374919982,23.2,76.8
Coca-Cola,2019-12-31,0.029015421915582693,0.8542832785562983,0.11669883525896871,19.91,80.09
Coca-Cola,2020-01-31,0.032071340298205936,0.8664887819423164,0.10143838051639698,24.02,75.98
Coca-Cola,2020-02-29,0.02810887988369674,0.8598279987533123,0.11207344773878768,20.05,79.95
Coca-Cola,2020-03-31,0.03237610493681101,0.8595804005170835,0.10805279839511334,23.06,76.94
Coca-Cola,2020-04-30,0.03038758771089462,0.8633719052007741,0.10623185171984732,22.24,77.76
Coca-Cola,2020-05-31,0.0247054914556178,0.8535192226151446,0.12177013435231399,16.87,83.13
Coca-Cola,2020-06-30,0.03492225085703465,0.8617483535878435,0.10333243491266002,25.26,74.74
Coca-Cola,2020-07-31,0.02912119205502148,0.862042734899825,0.10883597217749655,21.11,78.89
Coca-Cola,2020-08-31,0.027327361304760676,0.8687328115746671,0.10393983328423684,20.82,79.18
Coca-Cola,2020-09-30,0.02842911859656531,0.8717668226736482,0.09980332706351266,22.17,77.83
Coca-Cola,2020-10-31,0.030169223753687156,0.8632006079923862,0.10663330601699479,22.05,77.95
HM,2019-07-31,0.005614814814814815,0.7234,0.27099259259259256,2.03,97.97
HM,2019-08-31,0.008681505562465481,0.7464772088190668,0.24484438314394671,3.42,96.58
HM,2019-09-30,0.009857104400294891,0.7455531041924607,0.24459091333401153,3.87,96.13
HM,2019-10-31,0.007286590925755081,0.7403681255798676,0.25234474432356707,2.81,97.19
HM,2019-11-30,0.01809060559268836,0.8235479283787874,0.15835772088358702,10.25,89.75
HM,2019-12-31,0.031382138190211344,0.8442575501596855,0.12435185481178845,20.15,79.85
HM,2020-01-31,0.029084080241081892,0.8190698588589629,0.151841625328193,16.08,83.92
HM,2020-02-29,0.010650203239232157,0.7406843963705613,0.24866658800284897,4.11,95.89
HM,2020-03-31,0.009591925047295849,0.7360258698194475,0.25438160094631357,3.63,96.37
HM,2020-04-30,0.009350750952549761,0.732476106639825,0.25817239267054354,3.5,96.5
